Sample_ID,Short_ID,Plot,Restoration,Depth,Block,Precip,Invaded,TN_mg_gsoil,TC_mg_gsoil,CtoN,Year,MBC_Lab,MBC,WEOC,POM_TN,POM_TC,MAOM_TN,MAOM_TC,perc_POM,perc_MAOM,pH,GWC,COVER_C,ANN_F_C,PER_F_C,IGRASS_C,ALL_GRASS_C,PER_G_C,ANN_G_C,PER_ALL_C,ANN_ALL_C,NFIX_SUM_C,ACHMIL_C,ACMAME_C,ACMSTR_C,AMSMEN_C,ASCFAS_C,CALCIL_C,CIROCC_C,DEIFAS_C,ESCCAL_C,GRICAM_C,LAYPLA_C,LUPBIC_C,LUPMIC_C,LUPSUC_C,PHACIC_C,PLAERE_C,RANCAL_C,TRIWIL_C,ARIPUR_C,BROCAR_C,ELYCON_C,ELYGLA_C,FESMIC_C,HORBRA_C,HORINT_C,KOEMAC_C,SPOAIR_C,STIPUL_C,BRODIA_C,BROMAD_C,FESPER_C,goph_dist_C,FESMYU_C,BROHOR_C,COVER_P,ANN_F_P,PER_F_P,IGRASS_P,ALL_GRASS_P,PER_G_P,ANN_G_P,PER_ALL_P,ANN_ALL_P,NFIX_SUM_P,ACHMIL_P,ACMAME_P,ACMSTR_P,AMSMEN_P,ASCFAS_P,CALCIL_P,CIROCC_P,DEIFAS_P,ESCCAL_P,GRICAM_P,LAYPLA_P,LUPBIC_P,LUPMIC_P,LUPSUC_P,PHACIC_P,PLAERE_P,RANCAL_P,TRIWIL_P,ARIPUR_P,BROCAR_P,ELYCON_P,ELYGLA_P,FESMIC_P,HORBRA_P,HORINT_P,KOEMAC_P,SPOAIR_P,STIPUL_P,BRODIA_P,BROMAD_P,FESPER_P,goph_dist_P,Cover_NoBRODIA,MBC_halfAnLab,COVER_A,ANN_F_A,PER_F_A,IGRASS_A,ALL_GRASS_A,PER_G_A,ANN_G_A,PER_ALL_A,ANN_ALL_A,NFIX_SUM_A,ACHMIL_A,ACMAME_A,ACMSTR_A,AMSMEN_A,ASCFAS_A,CALCIL_A,CIROCC_A,DEIFAS_A,ESCCAL_A,GRICAM_A,LAYPLA_A,LUPBIC_A,LUPMIC_A,LUPSUC_A,PHACIC_A,PLAERE_A,RANCAL_A,TRIWIL_A,ARIPUR_A,BROCAR_A,ELYCON_A,ELYGLA_A,FESMIC_A,HORBRA_A,HORINT_A,KOEMAC_A,SPOAIR_A,STIPUL_A,BRODIA_A,BROMAD_A,FESPER_A,goph_dist_A,COVER_NoBRODIA_A
01-R-0-15,01-R,1,R,shallow,A,wet,1,0.60,6.30,10.50,2022,AnLab,357.40,NA,0.40,3.70,1.40,13.70,66.42,33.58,8.63,0.12,0.88,0.19,0.01,0.35,0.68,0.33,0.35,0.34,0.54,0.08,0,0.01,0,0.03,0,0,0.01,0,0.1,0,0,0,0,0.05,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0.3,0,0.15,0.2,0.25,0,0,1.3,0.9,0.1,0.05,0.3,0.25,0.05,0.35,0.95,0.21,0,0.02,0,0.7,0,0,0,0,0.03,0,0,0,0,0.15,0,0,0.1,0,0,0.05,0,0.05,0,0,0,0,0,0.15,0.05,0,0,NA,1.25,178.7,1.09,0.545,0.055,0.2,0.49,0.29,0.2,0.345,0.745,0.145,0,0.015,0,0.365,0,0,0.005,0,0.065,0,0,0,0,0.1,0,0,0.05,0,0,0.04,0,0.025,0,0,0,0,0,0.225,0.025,0.075,0.1,0.25,1.065
02-FD-0-15,02-FD,2,FD,shallow,A,wet,0,0.60,6.40,10.70,2022,AnLab,244.10,NA,0.20,3.40,1.10,12.00,65.57,34.43,8.31,0.11,0.72,0.14,0.03,0,0.55,0.55,0,0.58,0.14,0.05,0,0.01,0,0.03,0,0.04,0.02,0,0.04,0.01,0,0,0,0.02,0,0,0,0,0,0.5,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.28,0.05,0,0.6,0.6,0,0.65,0.28,0.15,0,0.05,0,0,0,0.05,0.05,0,0.15,0,0,0,0,0,0.03,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,NA,0.93,122.05,0.825,0.21,0.04,0,0.575,0.575,0,0.615,0.21,0.1,0,0.03,0,0.015,0,0.045,0.035,0,0.095,0.005,0,0,0,0.01,0.015,0,0,0,0,0.55,0,0.025,0,0,0,0,0,0,0,0,0,0,0.825
02-FD-15-30,02-FD,2,FD,deep,A,wet,0,0.40,3.30,8.30,2022,AnLab,51.40,NA,0.00,1.30,0.90,9.30,66.00,34.00,NA,0.09,0.72,0.14,0.03,0,0.55,0.55,0,0.58,0.14,0.05,0,0.01,0,0.03,0,0.04,0.02,0,0.04,0.01,0,0,0,0.02,0,0,0,0,0,0.5,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.93,0.28,0.05,0,0.6,0.6,0,0.65,0.28,0.15,0,0.05,0,0,0,0.05,0.05,0,0.15,0,0,0,0,0,0.03,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,,0.93,25.7,0.825,0.21,0.04,0,0.575,0.575,0,0.615,0.21,0.1,0,0.03,0,0.015,0,0.045,0.035,0,0.095,0.005,0,0,0,0.01,0.015,0,0,0,0,0.55,0,0.025,0,0,0,0,0,0,0,0,0,0,0.825
03-DT-0-15,03-DT,3,DT,shallow,A,wet,0,0.90,NA,NA,2022,AnLab,NA,NA,0.30,5.20,1.30,13.30,65.77,34.23,8.35,0.12,0.91,0.34,0.37,0,0.2,0.2,0,0.57,0.34,0.03,0,0.01,0,0.1,0,0,0.02,0,0.03,0.35,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,1.3,0.95,0.1,0,0.25,0.25,0,0.35,0.95,0.09,0,0.03,0,0.15,0,0.02,0.05,0,0.15,0.05,0,0,0,0,0.6,0,0,0,0,0.05,0,0,0,0.2,0,0,0,0,0,0,0,NA,1.3,NA,1.105,0.645,0.235,0,0.225,0.225,0,0.46,0.645,0.06,0,0.02,0,0.125,0,0.01,0.035,0,0.09,0.2,0,0,0,0,0.4,0,0,0,0,0.125,0,0,0,0.1,0,0,0,0,0,0,0,0.05,1.105
04-IR-0-15,04-IR,4,IR,shallow,J,wet,1,0.50,3.90,7.80,2022,AnLab,211.70,NA,0.30,2.10,1.20,11.30,67.24,32.76,8.79,0.10,1.2,0.7,0.2,0.15,0.3,0.15,0.15,0.35,0.85,0.6,0,0.05,0.15,0.05,0,0.4,0.2,0,0,0,0,0,0,0,0.05,0,0,0,0,0.1,0,0.05,0,0,0,0,0,0,0,0,0.15,0,0,0,1.42,0.5,0.75,0.02,0.17,0.15,0.02,0.9,0.52,0.06,0,0.02,0,0,0,0.45,0.75,0,0.03,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.02,0,0,NA,1.4,105.85,1.31,0.6,0.475,0.085,0.235,0.15,0.085,0.625,0.685,0.33,0,0.035,0.075,0.025,0,0.425,0.475,0,0.015,0,0,0,0,0,0.025,0,0,0,0,0.125,0,0.025,0,0,0,0,0,0,0.01,0,0.075,0,1.3
05-DT-0-15,05-DT,5,DT,shallow,J,wet,1,0.60,4.70,7.80,2022,AnLab,299.70,NA,0.00,1.80,1.10,10.90,66.77,33.23,NA,0.10,1,0.42,0.05,0.15,0.53,0.13,0.4,0.18,0.82,0.11,0,0.01,0.01,0.03,0,0.2,0.05,0,0.1,0,0,0,0,0.05,0.02,0,0,0,0,0.1,0,0.03,0.25,0,0,0,0,0,0,0,0.15,0,0,0,1.4,0.66,0.01,0.02,0.73,0.21,0.52,0.22,1.18,0.18,0,0.05,0.01,0,0,0.35,0.01,0,0.25,0,0,0,0,0,0,0,0,0,0,0.15,0,0.01,0.5,0,0,0,0,0.05,0.02,0,0,NA,1.38,149.85,1.2,0.54,0.03,0.085,0.63,0.17,0.46,0.2,1,0.145,0,0.03,0.01,0.015,0,0.275,0.03,0,0.175,0,0,0,0,0.025,0.01,0,0,0,0,0.125,0,0.02,0.375,0,0,0,0,0.025,0.01,0,0.075,0,1.19
05-IR-0-15,05-IR,5,IR,shallow,J,wet,0,0.50,3.70,7.40,2022,AnLab,214.70,NA,0.00,1.80,1.20,11.50,65.92,34.08,8.82,0.12,1.21,0.71,0.1,0,0.4,0.25,0.15,0.35,0.86,0.52,0,0.02,0.15,0.01,0,0.5,0.1,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0.25,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,1.43,0.58,0.65,0,0.2,0.05,0.15,0.7,0.73,0.24,0,0.05,0.03,0.02,0,0.45,0.65,0,0.03,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.15,0,0,0,0,0,0,0,0,NA,1.43,107.35,1.32,0.645,0.375,0,0.3,0.15,0.15,0.525,0.795,0.38,0,0.035,0.09,0.015,0,0.475,0.375,0,0.02,0,0,0,0,0.005,0.005,0,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,1.32
05-IR-15-30,05-IR,5,IR,deep,J,wet,0,NA,NA,NA,2022,AnLab,60.50,NA,0.00,0.60,0.90,9.40,66.11,33.89,8.09,0.09,1.21,0.71,0.1,0,0.4,0.25,0.15,0.35,0.86,0.52,0,0.02,0.15,0.01,0,0.5,0.1,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0.25,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,1.43,0.58,0.65,0,0.2,0.05,0.15,0.7,0.73,0.24,0,0.05,0.03,0.02,0,0.45,0.65,0,0.03,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.15,0,0,0,0,0,0,0,0,,1.43,30.25,1.32,0.645,0.375,0,0.3,0.15,0.15,0.525,0.795,0.38,0,0.035,0.09,0.015,0,0.475,0.375,0,0.02,0,0,0,0,0.005,0.005,0,0,0,0,0.15,0,0,0.15,0,0,0,0,0,0,0,0,0,1.32
06-FD-0-15,06-FD,6,FD,shallow,J,wet,1,0.60,4.80,8.00,2022,AnLab,238.10,NA,0.20,2.00,1.10,11.20,66.43,33.57,8.75,0.11,1.23,0.54,0.31,0.07,0.38,0.11,0.27,0.42,0.81,0.55,0,0.05,0.1,0.05,0,0.1,0.04,0,0.04,0.25,0,0,0,0.1,0.1,0,0.02,0,0,0.01,0,0.1,0.2,0,0,0,0,0,0,0,0.07,0,0,0,1.26,0.7,0.15,0.08,0.41,0.03,0.38,0.18,1.08,0.6,0,0.05,0.15,0,0.01,0,0.02,0,0.5,0.1,0,0,0,0,0,0,0.02,0,0,0,0,0,0.3,0.03,0,0,0,0,0.08,0,0,NA,1.18,119.05,1.245,0.62,0.23,0.075,0.395,0.07,0.325,0.3,0.945,0.575,0,0.05,0.125,0.025,0.005,0.05,0.03,0,0.27,0.175,0,0,0,0.05,0.05,0,0.02,0,0,0.005,0,0.05,0.25,0.015,0,0,0,0,0.04,0,0.035,0,1.205
06-R-0-15,06-R,6,R,shallow,J,wet,1,0.50,4.40,8.80,2022,AnLab,224.40,NA,0.00,1.70,1.10,11.50,67.16,32.84,8.99,0.12,1.48,0.56,0.22,0.35,0.7,0.2,0.5,0.42,1.06,0.63,0.02,0.2,0.01,0.05,0,0.1,0.2,0,0.15,0,0,0,0,0,0.05,0,0,0,0,0.2,0,0,0.15,0,0,0,0,0,0,0,0.35,0,0,0,1.6,0.95,0.35,0.12,0.3,0.13,0.17,0.48,1.12,0.45,0.3,0.15,0,0,0,0.05,0.05,0,0.75,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.05,0,0,0.03,0,0,0.12,0,0,NA,1.48,112.2,1.54,0.755,0.285,0.235,0.5,0.165,0.335,0.45,1.09,0.54,0.16,0.175,0.005,0.025,0,0.075,0.125,0,0.45,0,0,0,0,0,0.025,0,0,0,0,0.15,0,0,0.1,0,0,0.015,0,0,0.06,0,0.175,0,1.48
